sig_id,pert_type,gene_id
CGS001_NPC_96H:LHX3:1.5,trt_sh.cgs,8022
CGS001_NPC_96H:PRKCE:1.5,trt_sh.cgs,5581
CGS001_NPC_96H:SENP5:1.5,trt_sh.cgs,205564
CGS001_NPC_96H:HBE1:1.5,trt_sh.cgs,3046
CGS001_NPC_96H:NDUFA2:1.5,trt_sh.cgs,4695
CGS001_NPC_96H:ZGPAT:1.5,trt_sh.cgs,84619
CGS001_NPC_96H:BCKDHA:1.5,trt_sh.cgs,593
CGS001_NPC_96H:PAFAH1B2:1.5,trt_sh.cgs,5049
CGS001_NPC_96H:SPECC1L:1.5,trt_sh.cgs,23384
CGS001_NPC_96H:TBX2:1.5,trt_sh.cgs,6909
CGS001_NPC_96H:EPN2:1.5,trt_sh.cgs,22905
CGS001_NPC_96H:KIAA0100:1.5,trt_sh.cgs,9703
CGS001_NPC_96H:KIAA0355:1.5,trt_sh.cgs,9710
CGS001_NPC_96H:KIAA0753:1.5,trt_sh.cgs,9851
CGS001_NPC_96H:BECN1:1.5,trt_sh.cgs,8678
CGS001_NPC_96H:CAT:1.5,trt_sh.cgs,847
CGS001_NPC_96H:CPNE3:1.5,trt_sh.cgs,8895
CGS001_NPC_96H:CCNF:1.5,trt_sh.cgs,899
CGS001_NPC_96H:LGMN:1.5,trt_sh.cgs,5641
CGS001_NPC_96H:MLEC:1.5,trt_sh.cgs,9761
CGS001_NPC_96H:MYO10:1.5,trt_sh.cgs,4651
CGS001_NPC_96H:PXN:1.5,trt_sh.cgs,5829
CGS001_NPC_96H:SOX4:1.5,trt_sh.cgs,6659
CGS001_NPC_96H:CAPN1:1.5,trt_sh.cgs,823
CGS001_NPC_96H:CALU:1.5,trt_sh.cgs,813
CGS001_NPC_96H:CTTN:1.5,trt_sh.cgs,2017
CGS001_NPC_96H:CCNA2:1.5,trt_sh.cgs,890
CGS001_NPC_96H:CCNB2:1.5,trt_sh.cgs,9133
CGS001_NPC_96H:DNM1:1.5,trt_sh.cgs,1759
CGS001_NPC_96H:NISCH:1.5,trt_sh.cgs,11188
CGS001_NPC_96H:SESN1:1.5,trt_sh.cgs,27244
CGS001_NPC_96H:SFN:1.5,trt_sh.cgs,2810
CGS001_NPC_96H:C2CD2L:1.5,trt_sh.cgs,9854
CGS001_NPC_96H:ANXA7:1.5,trt_sh.cgs,310
CGS001_NPC_96H:CDH3:1.5,trt_sh.cgs,1001
CGS001_NPC_96H:CHN1:1.5,trt_sh.cgs,1123
CGS001_NPC_96H:CORO1A:1.5,trt_sh.cgs,11151
CGS001_NPC_96H:XPO7:1.5,trt_sh.cgs,23039
CGS001_NPC_96H:LGALS8:1.5,trt_sh.cgs,3964
CGS001_NPC_96H:GPC1:1.5,trt_sh.cgs,2817
CGS001_NPC_96H:KTN1:1.5,trt_sh.cgs,3895
CGS001_NPC_96H:RBKS:1.5,trt_sh.cgs,64080
CGS001_NPC_96H:SCRN1:1.5,trt_sh.cgs,9805
CGS001_NPC_96H:STMN1:1.5,trt_sh.cgs,3925
CGS001_NPC_96H:STX4:1.5,trt_sh.cgs,6810
CGS001_NPC_96H:EML3:1.5,trt_sh.cgs,256364
CGS001_NPC_96H:CTSD:1.5,trt_sh.cgs,1509
CGS001_NPC_96H:CYTH1:1.5,trt_sh.cgs,9267
CGS001_NPC_96H:HOXA5:1.5,trt_sh.cgs,3202
CGS001_NPC_96H:IPO13:1.5,trt_sh.cgs,9670
CGS001_NPC_96H:MCOLN1:1.5,trt_sh.cgs,57192
CGS001_NPC_96H:RTN2:1.5,trt_sh.cgs,6253
CGS001_NPC_96H:STX1A:1.5,trt_sh.cgs,6804
CGS001_NPC_96H:UBQLN2:1.5,trt_sh.cgs,29978
CGS001_NPC_96H:LIG1:1.5,trt_sh.cgs,3978
CGS001_NPC_96H:TPD52L2:1.5,trt_sh.cgs,7165
CGS001_NPC_96H:ANO10:1.5,trt_sh.cgs,55129
CGS001_NPC_96H:DSG2:1.5,trt_sh.cgs,1829
CGS001_NPC_96H:HOXA10:1.5,trt_sh.cgs,3206
CGS001_NPC_96H:PAX8:1.5,trt_sh.cgs,7849
CGS001_NPC_96H:RPN1:1.5,trt_sh.cgs,6184
CGS001_NPC_96H:CD58:1.5,trt_sh.cgs,965
CGS001_NPC_96H:CLSTN1:1.5,trt_sh.cgs,22883
CGS001_NPC_96H:TSPAN3:1.5,trt_sh.cgs,10099
CGS001_NPC_96H:TSPAN4:1.5,trt_sh.cgs,7106
CGS001_NPC_96H:TSPAN6:1.5,trt_sh.cgs,7105
CGS001_NPC_96H:ATMIN:1.5,trt_sh.cgs,23300
CGS001_NPC_96H:CD320:1.5,trt_sh.cgs,51293
CGS001_NPC_96H:EVL:1.5,trt_sh.cgs,51466
CGS001_NPC_96H:DCTD:1.5,trt_sh.cgs,1635
CGS001_NPC_96H:DNM1L:1.5,trt_sh.cgs,10059
CGS001_NPC_96H:ME2:1.5,trt_sh.cgs,4200
CGS001_NPC_96H:MSH6:1.5,trt_sh.cgs,2956
CGS001_NPC_96H:NUCB2:1.5,trt_sh.cgs,4925
CGS001_NPC_96H:NUP62:1.5,trt_sh.cgs,23636
CGS001_NPC_96H:NUP85:1.5,trt_sh.cgs,79902
CGS001_NPC_96H:NUP88:1.5,trt_sh.cgs,4927
CGS001_NPC_96H:NUP93:1.5,trt_sh.cgs,9688
CGS001_NPC_96H:SYNGR3:1.5,trt_sh.cgs,9143
CGS001_NPC_96H:FBXO7:1.5,trt_sh.cgs,25793
CGS001_NPC_96H:RAD51C:1.5,trt_sh.cgs,5889
CGS001_NPC_96H:AURKA:1.5,trt_sh.cgs,6790
CGS001_NPC_96H:AURKB:1.5,trt_sh.cgs,9212
CGS001_NPC_96H:CTNND1:1.5,trt_sh.cgs,1500
CGS001_NPC_96H:CERK:1.5,trt_sh.cgs,64781
CGS001_NPC_96H:CRYZ:1.5,trt_sh.cgs,1429
CGS001_NPC_96H:CYB561:1.5,trt_sh.cgs,1534
CGS001_NPC_96H:FOXJ3:1.5,trt_sh.cgs,22887
CGS001_NPC_96H:FOXO4:1.5,trt_sh.cgs,4303
CGS001_NPC_96H:NUP133:1.5,trt_sh.cgs,55746
CGS001_NPC_96H:SNX6:1.5,trt_sh.cgs,58533
CGS001_NPC_96H:SNX7:1.5,trt_sh.cgs,51375
CGS001_NPC_96H:FBXO21:1.5,trt_sh.cgs,23014
CGS001_NPC_96H:BACE2:1.5,trt_sh.cgs,25825
CGS001_NPC_96H:LBR:1.5,trt_sh.cgs,3930
CGS001_NPC_96H:NVL:1.5,trt_sh.cgs,4931
CGS001_NPC_96H:SGCB:1.5,trt_sh.cgs,6443
CGS001_NPC_96H:SNX11:1.5,trt_sh.cgs,29916
CGS001_NPC_96H:SNX13:1.5,trt_sh.cgs,23161
CGS001_NPC_96H:ACLY:1.5,trt_sh.cgs,47
CGS001_NPC_96H:FCHO1:1.5,trt_sh.cgs,23149
CGS001_NPC_96H:MALT1:1.5,trt_sh.cgs,10892
CGS001_NPC_96H:NIPSNAP1:1.5,trt_sh.cgs,8508
CGS001_NPC_96H:NUDT9:1.5,trt_sh.cgs,53343
CGS001_NPC_96H:GNAS:1.5,trt_sh.cgs,2778
CGS001_NPC_96H:MOK:1.5,trt_sh.cgs,5891
CGS001_NPC_96H:WDR7:1.5,trt_sh.cgs,23335
CGS001_NPC_96H:YME1L1:1.5,trt_sh.cgs,10730
CGS001_NPC_96H:GOLT1B:1.5,trt_sh.cgs,51026
CGS001_NPC_96H:GRN:1.5,trt_sh.cgs,2896
CGS001_NPC_96H:PRSS23:1.5,trt_sh.cgs,11098
CGS001_NPC_96H:COASY:1.5,trt_sh.cgs,80347
CGS001_NPC_96H:POLB:1.5,trt_sh.cgs,5423
CGS001_NPC_96H:MYCBP:1.5,trt_sh.cgs,26292
CGS001_NPC_96H:WDR61:1.5,trt_sh.cgs,80349
CGS001_NPC_96H:ATG3:1.5,trt_sh.cgs,64422
CGS001_NPC_96H:BLMH:1.5,trt_sh.cgs,642
CGS001_NPC_96H:CHEK2:1.5,trt_sh.cgs,11200
CGS001_NPC_96H:EXOSC4:1.5,trt_sh.cgs,54512
CGS001_NPC_96H:LYPLA1:1.5,trt_sh.cgs,10434
CGS001_NPC_96H:MVP:1.5,trt_sh.cgs,9961
CGS001_NPC_96H:NOL3:1.5,trt_sh.cgs,8996
CGS001_NPC_96H:TEX10:1.5,trt_sh.cgs,54881
CGS001_NPC_96H:TXNL4B:1.5,trt_sh.cgs,54957
CGS001_NPC_96H:DDX10:1.5,trt_sh.cgs,1662
CGS001_NPC_96H:DDX42:1.5,trt_sh.cgs,11325
CGS001_NPC_96H:DHX29:1.5,trt_sh.cgs,54505
CGS001_NPC_96H:SMAD3:1.5,trt_sh.cgs,4088
CGS001_NPC_96H:STAMBP:1.5,trt_sh.cgs,10617
CGS001_NPC_96H:USP6NL:1.5,trt_sh.cgs,9712
CGS001_NPC_96H:WASF3:1.5,trt_sh.cgs,10810
CGS001_NPC_96H:YKT6:1.5,trt_sh.cgs,10652
CGS001_NPC_96H:CBR1:1.5,trt_sh.cgs,873
CGS001_NPC_96H:CBR3:1.5,trt_sh.cgs,874
CGS001_NPC_96H:CTNNAL1:1.5,trt_sh.cgs,8727
CGS001_NPC_96H:CENPE:1.5,trt_sh.cgs,1062
CGS001_NPC_96H:DCK:1.5,trt_sh.cgs,1633
CGS001_NPC_96H:LOXL1:1.5,trt_sh.cgs,4016
CGS001_NPC_96H:PGM1:1.5,trt_sh.cgs,5236
CGS001_NPC_96H:PMM2:1.5,trt_sh.cgs,5373
CGS001_NPC_96H:RFX5:1.5,trt_sh.cgs,5993
CGS001_NPC_96H:SYPL1:1.5,trt_sh.cgs,6856
CGS001_NPC_96H:FASTKD5:1.5,trt_sh.cgs,60493
CGS001_NPC_96H:NPEPL1:1.5,trt_sh.cgs,79716
CGS001_NPC_96H:ELAC2:1.5,trt_sh.cgs,60528
CGS001_NPC_96H:ENOPH1:1.5,trt_sh.cgs,58478
CGS001_NPC_96H:ECH1:1.5,trt_sh.cgs,1891
CGS001_NPC_96H:HDAC6:1.5,trt_sh.cgs,10013
CGS001_NPC_96H:KDM3A:1.5,trt_sh.cgs,55818
CGS001_NPC_96H:KDM5A:1.5,trt_sh.cgs,5927
CGS001_NPC_96H:KDM5B:1.5,trt_sh.cgs,10765
CGS001_NPC_96H:PLP2:1.5,trt_sh.cgs,5355
CGS001_NPC_96H:SPR:1.5,trt_sh.cgs,6697
CGS001_NPC_96H:TLK2:1.5,trt_sh.cgs,11011
CGS001_NPC_96H:GATA3:1.5,trt_sh.cgs,2625
CGS001_NPC_96H:LYRM1:1.5,trt_sh.cgs,57149
CGS001_NPC_96H:RUVBL1:1.5,trt_sh.cgs,8607
CGS001_NPC_96H:SKIV2L:1.5,trt_sh.cgs,6499
CGS001_NPC_96H:SUPV3L1:1.5,trt_sh.cgs,6832
CGS001_NPC_96H:AARS:1.5,trt_sh.cgs,16
CGS001_NPC_96H:BLVRA:1.5,trt_sh.cgs,644
CGS001_NPC_96H:CDC45:1.5,trt_sh.cgs,8318
CGS001_NPC_96H:CLTB:1.5,trt_sh.cgs,1212
CGS001_NPC_96H:HEBP1:1.5,trt_sh.cgs,50865
CGS001_NPC_96H:HYOU1:1.5,trt_sh.cgs,10525
CGS001_NPC_96H:INSIG1:1.5,trt_sh.cgs,3638
CGS001_NPC_96H:ILK:1.5,trt_sh.cgs,3611
CGS001_NPC_96H:IL4R:1.5,trt_sh.cgs,3566
CGS001_NPC_96H:PRCP:1.5,trt_sh.cgs,5547
CGS001_NPC_96H:RPA1:1.5,trt_sh.cgs,6117
CGS001_NPC_96H:RPA2:1.5,trt_sh.cgs,6118
CGS001_NPC_96H:RPA3:1.5,trt_sh.cgs,6119
CGS001_NPC_96H:TUBB6:1.5,trt_sh.cgs,84617
CGS001_NPC_96H:DNMT1:1.5,trt_sh.cgs,1786
CGS001_NPC_96H:EBNA1BP2:1.5,trt_sh.cgs,10969
CGS001_NPC_96H:FAT1:1.5,trt_sh.cgs,2195
CGS001_NPC_96H:FKBP4:1.5,trt_sh.cgs,2288
CGS001_NPC_96H:HTRA1:1.5,trt_sh.cgs,5654
CGS001_NPC_96H:ACOT9:1.5,trt_sh.cgs,23597
CGS001_NPC_96H:CNDP2:1.5,trt_sh.cgs,55748
CGS001_NPC_96H:CSNK2A2:1.5,trt_sh.cgs,1459
CGS001_NPC_96H:GAA:1.5,trt_sh.cgs,2548
CGS001_NPC_96H:ITGB5:1.5,trt_sh.cgs,3693
CGS001_NPC_96H:LAMA3:1.5,trt_sh.cgs,3909
CGS001_NPC_96H:MTA1:1.5,trt_sh.cgs,9112
CGS001_NPC_96H:RNF167:1.5,trt_sh.cgs,26001
CGS001_NPC_96H:TXNRD1:1.5,trt_sh.cgs,7296
CGS001_NPC_96H:TBXA2R:1.5,trt_sh.cgs,6915
CGS001_NPC_96H:TRIB1:1.5,trt_sh.cgs,10221
CGS001_NPC_96H:TRIB3:1.5,trt_sh.cgs,57761
CGS001_NPC_96H:ZNF131:1.5,trt_sh.cgs,7690
CGS001_NPC_96H:ZNF274:1.5,trt_sh.cgs,10782
CGS001_NPC_96H:ZNF318:1.5,trt_sh.cgs,24149
CGS001_NPC_96H:ZNF395:1.5,trt_sh.cgs,55893
CGS001_NPC_96H:ZNF451:1.5,trt_sh.cgs,26036
CGS001_NPC_96H:ZNF586:1.5,trt_sh.cgs,54807
CGS001_NPC_96H:ZNF589:1.5,trt_sh.cgs,51385
CGS001_NPC_96H:BCL2:1.5,trt_sh.cgs,596
CGS001_NPC_96H:DRAP1:1.5,trt_sh.cgs,10589
CGS001_NPC_96H:FKBP14:1.5,trt_sh.cgs,55033
CGS001_NPC_96H:GNB5:1.5,trt_sh.cgs,10681
CGS001_NPC_96H:HEATR1:1.5,trt_sh.cgs,55127
CGS001_NPC_96H:NMT1:1.5,trt_sh.cgs,4836
CGS001_NPC_96H:NUDCD3:1.5,trt_sh.cgs,23386
CGS001_NPC_96H:PIH1D1:1.5,trt_sh.cgs,55011
CGS001_NPC_96H:RSU1:1.5,trt_sh.cgs,6251
CGS001_NPC_96H:SCYL3:1.5,trt_sh.cgs,57147
CGS001_NPC_96H:VPS28:1.5,trt_sh.cgs,51160
CGS001_NPC_96H:ANKRD10:1.5,trt_sh.cgs,55608
CGS001_NPC_96H:FIS1:1.5,trt_sh.cgs,51024
CGS001_NPC_96H:PYGL:1.5,trt_sh.cgs,5836
CGS001_NPC_96H:IDE:1.5,trt_sh.cgs,3416
CGS001_NPC_96H:ITGAE:1.5,trt_sh.cgs,3682
CGS001_NPC_96H:KIF14:1.5,trt_sh.cgs,9928
CGS001_NPC_96H:KIF2C:1.5,trt_sh.cgs,11004
CGS001_NPC_96H:KIF5C:1.5,trt_sh.cgs,3800
CGS001_NPC_96H:LAP3:1.5,trt_sh.cgs,51056
CGS001_NPC_96H:PRR7:1.5,trt_sh.cgs,80758
CGS001_NPC_96H:RAI14:1.5,trt_sh.cgs,26064
CGS001_NPC_96H:TCTN1:1.5,trt_sh.cgs,79600
CGS001_NPC_96H:TJP1:1.5,trt_sh.cgs,7082
CGS001_NPC_96H:TOR1A:1.5,trt_sh.cgs,1861
CGS001_NPC_96H:TMEM97:1.5,trt_sh.cgs,27346
CGS001_NPC_96H:ZW10:1.5,trt_sh.cgs,9183
CGS001_NPC_96H:DENND2D:1.5,trt_sh.cgs,79961
CGS001_NPC_96H:MYBL2:1.5,trt_sh.cgs,4605
CGS001_NPC_96H:PWP1:1.5,trt_sh.cgs,11137
CGS001_NPC_96H:SENP6:1.5,trt_sh.cgs,26054
CGS001_NPC_96H:THAP11:1.5,trt_sh.cgs,57215
CGS001_NPC_96H:GALE:1.5,trt_sh.cgs,2582
CGS001_NPC_96H:XPNPEP1:1.5,trt_sh.cgs,7511
CGS001_NPC_96H:ZFP36:1.5,trt_sh.cgs,7538
CGS001_NPC_96H:CDK2:1.5,trt_sh.cgs,1017
CGS001_NPC_96H:DHRS7:1.5,trt_sh.cgs,51635
CGS001_NPC_96H:KLHDC2:1.5,trt_sh.cgs,23588
CGS001_NPC_96H:KIF20A:1.5,trt_sh.cgs,10112
CGS001_NPC_96H:PCM1:1.5,trt_sh.cgs,5108
CGS001_NPC_96H:PLSCR1:1.5,trt_sh.cgs,5359
CGS001_NPC_96H:PLSCR3:1.5,trt_sh.cgs,57048
CGS001_NPC_96H:PTK2:1.5,trt_sh.cgs,5747
CGS001_NPC_96H:RAE1:1.5,trt_sh.cgs,8480
CGS001_NPC_96H:TES:1.5,trt_sh.cgs,26136
CGS001_NPC_96H:TMEM109:1.5,trt_sh.cgs,79073
CGS001_NPC_96H:TMEM50A:1.5,trt_sh.cgs,23585
CGS001_NPC_96H:UFM1:1.5,trt_sh.cgs,51569
CGS001_NPC_96H:VAT1:1.5,trt_sh.cgs,10493
CGS001_NPC_96H:BNIP3:1.5,trt_sh.cgs,664
CGS001_NPC_96H:CISD1:1.5,trt_sh.cgs,55847
CGS001_NPC_96H:TOP2A:1.5,trt_sh.cgs,7153
CGS001_NPC_96H:GNA11:1.5,trt_sh.cgs,2767
CGS001_NPC_96H:GNAI2:1.5,trt_sh.cgs,2771
CGS001_NPC_96H:ADI1:1.5,trt_sh.cgs,55256
CGS001_NPC_96H:CAB39:1.5,trt_sh.cgs,51719
CGS001_NPC_96H:CDK19:1.5,trt_sh.cgs,23097
CGS001_NPC_96H:DPH2:1.5,trt_sh.cgs,1802
CGS001_NPC_96H:ID2:1.5,trt_sh.cgs,3398
CGS001_NPC_96H:KLHL9:1.5,trt_sh.cgs,55958
CGS001_NPC_96H:MPZL1:1.5,trt_sh.cgs,9019
CGS001_NPC_96H:PPIC:1.5,trt_sh.cgs,5480
CGS001_NPC_96H:PPIE:1.5,trt_sh.cgs,10450
CGS001_NPC_96H:PPOX:1.5,trt_sh.cgs,5498
CGS001_NPC_96H:RRP8:1.5,trt_sh.cgs,23378
CGS001_NPC_96H:RPL39L:1.5,trt_sh.cgs,116832
CGS001_NPC_96H:STK10:1.5,trt_sh.cgs,6793
CGS001_NPC_96H:STK25:1.5,trt_sh.cgs,10494
CGS001_NPC_96H:SPAG4:1.5,trt_sh.cgs,6676
CGS001_NPC_96H:SPAG7:1.5,trt_sh.cgs,9552
CGS001_NPC_96H:STXBP2:1.5,trt_sh.cgs,6813
CGS001_NPC_96H:DECR1:1.5,trt_sh.cgs,1666
CGS001_NPC_96H:OXCT1:1.5,trt_sh.cgs,5019
CGS001_NPC_96H:COPS7A:1.5,trt_sh.cgs,50813
CGS001_NPC_96H:ELOVL6:1.5,trt_sh.cgs,79071
CGS001_NPC_96H:GPATCH8:1.5,trt_sh.cgs,23131
CGS001_NPC_96H:H2AFV:1.5,trt_sh.cgs,94239
CGS001_NPC_96H:HTATSF1:1.5,trt_sh.cgs,27336
CGS001_NPC_96H:NRAS:1.5,trt_sh.cgs,4893
CGS001_NPC_96H:PRAF2:1.5,trt_sh.cgs,11230
CGS001_NPC_96H:RBM6:1.5,trt_sh.cgs,10180
CGS001_NPC_96H:POLR2I:1.5,trt_sh.cgs,5438
CGS001_NPC_96H:POLR2K:1.5,trt_sh.cgs,5440
CGS001_NPC_96H:UGDH:1.5,trt_sh.cgs,7358
CGS001_NPC_96H:FPGS:1.5,trt_sh.cgs,2356
CGS001_NPC_96H:HAT1:1.5,trt_sh.cgs,8520
CGS001_NPC_96H:KLHL21:1.5,trt_sh.cgs,9903
CGS001_NPC_96H:KAT6B:1.5,trt_sh.cgs,23522
CGS001_NPC_96H:RRP1B:1.5,trt_sh.cgs,23076
CGS001_NPC_96H:TCFL5:1.5,trt_sh.cgs,10732
CGS001_NPC_96H:AKAP8:1.5,trt_sh.cgs,10270
CGS001_NPC_96H:BAG3:1.5,trt_sh.cgs,9531
CGS001_NPC_96H:RBM34:1.5,trt_sh.cgs,23029
CGS001_NPC_96H:SH3BP5:1.5,trt_sh.cgs,9467
CGS001_NPC_96H:TBC1D9B:1.5,trt_sh.cgs,23061
CGS001_NPC_96H:TSC22D3:1.5,trt_sh.cgs,1831
CGS001_NPC_96H:ACAA1:1.5,trt_sh.cgs,30
CGS001_NPC_96H:CRTAP:1.5,trt_sh.cgs,10491
CGS001_NPC_96H:ENOSF1:1.5,trt_sh.cgs,55556
CGS001_NPC_96H:INTS3:1.5,trt_sh.cgs,65123
CGS001_NPC_96H:MEST:1.5,trt_sh.cgs,4232
CGS001_NPC_96H:NENF:1.5,trt_sh.cgs,29937
CGS001_NPC_96H:PRPF4:1.5,trt_sh.cgs,9128
CGS001_NPC_96H:REEP5:1.5,trt_sh.cgs,7905
CGS001_NPC_96H:TIMELESS:1.5,trt_sh.cgs,8914
CGS001_NPC_96H:UBE3B:1.5,trt_sh.cgs,89910
CGS001_NPC_96H:UBE3C:1.5,trt_sh.cgs,9690
CGS001_NPC_96H:ALAS1:1.5,trt_sh.cgs,211
CGS001_NPC_96H:AKT1:1.5,trt_sh.cgs,207
CGS001_NPC_96H:ARID5B:1.5,trt_sh.cgs,84159
CGS001_NPC_96H:EAPP:1.5,trt_sh.cgs,55837
CGS001_NPC_96H:RBM15B:1.5,trt_sh.cgs,29890
CGS001_NPC_96H:TNIP1:1.5,trt_sh.cgs,10318
CGS001_NPC_96H:FAH:1.5,trt_sh.cgs,2184
CGS001_NPC_96H:HADH:1.5,trt_sh.cgs,3033
CGS001_NPC_96H:LIPA:1.5,trt_sh.cgs,3988
